original_index,name,zone,rating,votes,cuisine,price_range,price_symbol,maps_url,lat,lon,geocode_query_used
1144,Hoskar Restaurant مطعم هوسكار,Michelbeuern-AKH,4.4,900 votes,pizzeria,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1263.+Hoskar+Restaurant+%D9%85%D8%B7%D8%B9%D9%85+%D9%87%D9%88%D8%B3%D9%83%D8%A7%D8%B1%2C+Michelbeuern-AKH%2C+Vienna,48.2211652,16.3441586,"Michelbeuern-AKH, Vienna, Austria"
1145,Ali&Baba Restaurant,Margaretengürtel,4.4,969 votes,iranian,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1264.+Ali%26Baba+Restaurant%2C+Margareteng%C3%BCrtel%2C+Vienna,48.1884883,16.3430303,"Margaretengürtel, Vienna, Austria"
1146,Thai Imbiss,Volkstheater,4.4,124 votes,thai,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1265.+Thai+Imbiss%2C+Volkstheater%2C+Vienna,48.2052001,16.3569913,"Volkstheater, Vienna, Austria"
1147,Sajado Zollergasse,Neubaugasse,4.4,547 votes,asian,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1266.+Sajado+Zollergasse%2C+Neubaugasse%2C+Vienna,48.1993161,16.3526723,"Neubaugasse, Vienna, Austria"
1148,Pizzeria Tomato,Troststraße,4.4,209 votes,pizzeria,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1269.+Pizzeria+Tomato%2C+Troststra%C3%9Fe%2C+Vienna,48.1690181,16.3802682,"Troststraße, Vienna, Austria"
1149,Curry Vibes - Spice Up Your Life!,Kaisermühlen,4.4,639 votes,indian,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1270.+Curry+Vibes+-+Spice+Up+Your+Life%21%2C+Kaiserm%C3%BChlen%2C+Vienna,48.2281313,16.4202533,"Kaisermühlen, Vienna, Austria"
1150,Mama Liu & Sons,Kettenbrückengasse,5,2752 votes,chinese,€20 - €40,€€,https://www.google.com/maps/search/?api=1&query=1272.+Mama+Liu+%26+Sons%2C+Kettenbr%C3%BCckengasse%2C+Vienna,48.1966328,16.358092,"Kettenbrückengasse, Vienna, Austria"
1151,Gasthaus Hansy,Praterstern,4.9,3299 votes,austrian,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1273.+Gasthaus+Hansy%2C+Praterstern%2C+Vienna,48.2184638,16.3941852,"Praterstern, Vienna, Austria"
1152,Bek‘s Burger,Nußdorfer Straße,4.4,47 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1274.+Bek%E2%80%98s+Burger%2C+Nu%C3%9Fdorfer+Stra%C3%9Fe%2C+Vienna,48.2313284,16.3524512,"Nußdorfer Straße, Vienna, Austria"
1153,Thanos Taverna,Zieglergasse,5,776 votes,greek,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1275.+Thanos+Taverna%2C+Zieglergasse%2C+Vienna,48.197145,16.3462979,"Zieglergasse, Vienna, Austria"
1154,Jinco 沧浪亭,Kettenbrückengasse,4.9,424 votes,chinese,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1277.+Jinco+%E6%B2%A7%E6%B5%AA%E4%BA%AD%2C+Kettenbr%C3%BCckengasse%2C+Vienna,48.1966328,16.358092,"Kettenbrückengasse, Vienna, Austria"
1155,Fat Monk - Schottentor,Schottentor,4.4,375 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1278.+Fat+Monk+-+Schottentor%2C+Schottentor%2C+Vienna,48.2150535,16.3629074,"Schottentor, Vienna, Austria"
1156,KochbaRoman,Rochusgasse,4.4,21 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1279.+KochbaRoman%2C+Rochusgasse%2C+Vienna,48.2020851,16.3922544,"Rochusgasse, Vienna, Austria"
1157,Gastwirtschaft Heidenkummer,Alser Straße,5,1492 votes,restaurant,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1280.+Gastwirtschaft+Heidenkummer%2C+Alser+Stra%C3%9Fe%2C+Vienna,48.2167675,16.3418121,"Alser Straße, Vienna, Austria"
1158,Trattoria Officina,Taubstummengasse,4.4,165 votes,italian,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1281.+Trattoria+Officina%2C+Taubstummengasse%2C+Vienna,48.1936873,16.3704158,"Taubstummengasse, Vienna, Austria"
1159,Best Grill Haus,Thaliastraße,4.4,58 votes,bbq,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1283.+Best+Grill+Haus%2C+Thaliastra%C3%9Fe%2C+Vienna,48.2078001,16.3380073,"Thaliastraße, Vienna, Austria"
1160,Som Kitchen - Mariahilf,Zieglergasse,4.4,387 votes,thai,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1284.+Som+Kitchen+-+Mariahilf%2C+Zieglergasse%2C+Vienna,48.197145,16.3462979,"Zieglergasse, Vienna, Austria"
1161,Mei Shi - Shop&Eat 1060,Zieglergasse,4.4,294 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1285.+Mei+Shi+-+Shop%26Eat+1060%2C+Zieglergasse%2C+Vienna,48.197145,16.3462979,"Zieglergasse, Vienna, Austria"
1162,COMAL,Taubstummengasse,4.9,552 votes,mexican,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1286.+COMAL%2C+Taubstummengasse%2C+Vienna,48.1936873,16.3704158,"Taubstummengasse, Vienna, Austria"
1163,MCO Burger & Schnitzelhaus,Kardinal-Nagl-Platz,4.4,107 votes,restaurant,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1287.+MCO+Burger+%26+Schnitzelhaus%2C+Kardinal-Nagl-Platz%2C+Vienna,48.1975587,16.3998831,"Kardinal-Nagl-Platz, Vienna, Austria"
1164,Mr. Miao,Michelbeuern-AKH,4.4,320 votes,asian,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1288.+Mr.+Miao%2C+Michelbeuern-AKH%2C+Vienna,48.2211652,16.3441586,"Michelbeuern-AKH, Vienna, Austria"
1165,Habibi Vienna,Handelskai,4.4,11 votes,restaurant,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1289.+Habibi+Vienna%2C+Handelskai%2C+Vienna,48.2418469,16.3856637,"Handelskai, Vienna, Austria"
1166,City Saal,Rennbahnweg,4.4,24 votes,restaurant,,,https://www.google.com/maps/search/?api=1&query=1290.+City+Saal%2C+Rennbahnweg%2C+Vienna,48.2576086,16.4496328,"Rennbahnweg, Vienna, Austria"
1167,Fat Monk - VIO Plaza,Meidling Hauptstraße,4.4,83 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1291.+Fat+Monk+-+VIO+Plaza%2C+Meidling+Hauptstra%C3%9Fe%2C+Vienna,48.1836304,16.3281212,"Meidling Hauptstraße, Vienna, Austria"
1168,Tao Garten,Ober St. Veit,4.9,766 votes,sushi,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1292.+Tao+Garten%2C+Ober+St.+Veit%2C+Vienna,48.192234,16.2761736,"Ober St. Veit, Vienna, Austria"
1169,Noodle King,Karlsplatz,4.4,158 votes,asian,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1293.+Noodle+King%2C+Karlsplatz%2C+Vienna,48.2016089,16.369139,"Karlsplatz, Vienna, Austria"
1170,Magdas Lokal Vienna City,Rochusgasse,4.4,121 votes,vegetarian,€20 - €30,€€€,https://www.google.com/maps/search/?api=1&query=1294.+Magdas+Lokal+Vienna+City%2C+Rochusgasse%2C+Vienna,48.2020851,16.3922544,"Rochusgasse, Vienna, Austria"
1171,Manolos,Südtiroler Platz-Hauptbahnhof,4.4,339 votes,mexican,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1295.+Manolos%2C+S%C3%BCdtiroler+Platz-Hauptbahnhof%2C+Vienna,48.187103,16.3734414,"Südtiroler Platz-Hauptbahnhof, Vienna, Austria"
1172,O'Sfizio Ristogastronomia,Alser Straße,5,353 votes,italian,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1296.+O%27Sfizio+Ristogastronomia%2C+Alser+Stra%C3%9Fe%2C+Vienna,48.2167675,16.3418121,"Alser Straße, Vienna, Austria"
1173,Pizza Norma,Troststraße,4.4,225 votes,pizzeria,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1297.+Pizza+Norma%2C+Troststra%C3%9Fe%2C+Vienna,48.1690181,16.3802682,"Troststraße, Vienna, Austria"
1174,Terminal Gastro Bar Wien,Ottakring,4.4,207 votes,restaurant,,€€,https://www.google.com/maps/search/?api=1&query=1298.+Terminal+Gastro+Bar+Wien%2C+Ottakring%2C+Vienna,48.2134027,16.3132769,"Terminal Gastro Bar Wien, Ottakring, Vienna, Austria"
1175,Niški Merak Restaurant,Schweglerstraße,4.6,1641 votes,bbq,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1301.+Ni%C5%A1ki+Merak+Restaurant%2C+Schweglerstra%C3%9Fe%2C+Vienna,48.1976875,16.3286297,"Schweglerstraße, Vienna, Austria"
1176,Amore della Mutti,Schwedenplatz,4.9,584 votes,pizzeria,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1302.+Amore+della+Mutti%2C+Schwedenplatz%2C+Vienna,48.2117248,16.3785895,"Schwedenplatz, Vienna, Austria"
1177,Chitir Chicken,Thaliastraße,4.4,108 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1305.+Chitir+Chicken%2C+Thaliastra%C3%9Fe%2C+Vienna,48.2078001,16.3380073,"Thaliastraße, Vienna, Austria"
1178,"MI99 Kebab, Burger, Pizza, Falafel",Rochusgasse,4.4,264 votes,restaurant,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1308.+MI99+Kebab%2C+Burger%2C+Pizza%2C+Falafel%2C+Rochusgasse%2C+Vienna,48.2020851,16.3922544,"Rochusgasse, Vienna, Austria"
1179,Glasweise,Währinger Straße-Volksoper,5,572 votes,seafood,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1309.+Glasweise%2C+W%C3%A4hringer+Stra%C3%9Fe-Volksoper%2C+Vienna,48.2255878,16.3495046,"Währinger Straße-Volksoper, Vienna, Austria"
1180,Ouzeri Bistro Ellas,Stubentor,5,1939 votes,greek,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1310.+Ouzeri+Bistro+Ellas%2C+Stubentor%2C+Vienna,48.2069483,16.3792758,"Stubentor, Vienna, Austria"
1181,Shifu Asiafood Sushi Pokebowl Wienmitte,Landstraße,4.4,154 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1311.+Shifu+Asiafood+Sushi+Pokebowl+Wienmitte%2C+Landstra%C3%9Fe%2C+Vienna,48.1936436,16.3962862,"Landstraße, Vienna, Austria"
1182,YAK+YETI,Pilgramgasse,5,1656 votes,restaurant,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1312.+YAK%2BYETI%2C+Pilgramgasse%2C+Vienna,48.1921283,16.3542814,"Pilgramgasse, Vienna, Austria"
1183,Rudi's Beisl,Rennbahnweg,4.4,10 votes,restaurant,,,https://www.google.com/maps/search/?api=1&query=1314.+Rudi%27s+Beisl%2C+Rennbahnweg%2C+Vienna,48.2576086,16.4496328,"Rennbahnweg, Vienna, Austria"
1184,SAKE Restaurant,Thaliastraße,4.4,90 votes,sushi,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1315.+SAKE+Restaurant%2C+Thaliastra%C3%9Fe%2C+Vienna,48.2078001,16.3380073,"Thaliastraße, Vienna, Austria"
1185,Wen's Nudeln,Währinger Straße-Volksoper,4.4,235 votes,chinese,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1316.+Wen%27s+Nudeln%2C+W%C3%A4hringer+Stra%C3%9Fe-Volksoper%2C+Vienna,48.2255878,16.3495046,"Währinger Straße-Volksoper, Vienna, Austria"
1186,مطعم فارس ايراني,Thaliastraße,4.4,81 votes,restaurant,,,https://www.google.com/maps/search/?api=1&query=1317.+%D9%85%D8%B7%D8%B9%D9%85+%D9%81%D8%A7%D8%B1%D8%B3+%D8%A7%D9%8A%D8%B1%D8%A7%D9%86%D9%8A%2C+Thaliastra%C3%9Fe%2C+Vienna,48.2078001,16.3380073,"Thaliastraße, Vienna, Austria"
1187,Zushi Market Running Sushi Millennium City,Handelskai,4.4,1040 votes,sushi,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1318.+Zushi+Market+Running+Sushi+Millennium+City%2C+Handelskai%2C+Vienna,48.2418469,16.3856637,"Handelskai, Vienna, Austria"
1188,Catering Yudale - Finest Koscher Catering,Taborstraße,4.4,852 votes,kosher,€9 - €22,€€,https://www.google.com/maps/search/?api=1&query=1319.+Catering+Yudale+-+Finest+Koscher+Catering%2C+Taborstra%C3%9Fe%2C+Vienna,48.2192624,16.3815518,"Taborstraße, Vienna, Austria"
1189,Gasthaus zur Ananas,Kardinal-Nagl-Platz,4.4,264 votes,restaurant,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1320.+Gasthaus+zur+Ananas%2C+Kardinal-Nagl-Platz%2C+Vienna,48.1975587,16.3998831,"Kardinal-Nagl-Platz, Vienna, Austria"
1190,Swedish Restaurant IKEA Wien Nord,Rennbahnweg,4.7,611 votes,restaurant,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1321.+Swedish+Restaurant+IKEA+Wien+Nord%2C+Rennbahnweg%2C+Vienna,48.2576086,16.4496328,"Rennbahnweg, Vienna, Austria"
1191,Origami sushi house 22,Kaisermühlen,4.4,131 votes,sushi,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1322.+Origami+sushi+house+22%2C+Kaiserm%C3%BChlen%2C+Vienna,48.2281313,16.4202533,"Kaisermühlen, Vienna, Austria"
1192,Bali Brunch Rooftop,Volkstheater,4.4,706 votes,vegetarian,€20 - €30,€€€,https://www.google.com/maps/search/?api=1&query=1323.+Bali+Brunch+Rooftop%2C+Volkstheater%2C+Vienna,48.2052001,16.3569913,"Volkstheater, Vienna, Austria"
